locale|ru

DIALOG_PIRATE_BUSINESS_SHIP_K44|У меня есть один из этих провалившихся прототипов K44. Оказывается, они действительно существуют, а не просто миф. Транспондер ещё работает, но он в ужасном состоянии. Можете забрать его у меня за 250 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_217|У меня есть экспериментальный Cothon. Хранилище переработанной руды меньше, но не имеет ограничений по секциям, как у обычных хранилищ. Вы можете взять его за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PEACOCK|У меня есть роскошный Prospector в хорошем состоянии. Кожаные сиденья и всё такое, мне даже немного жалко его отдавать, ну да ладно. Он твой за 300 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_KTA24|У нас есть буксир KTA. Похоже, он может подойти для наших операций, но передние подруливающие устройства — это что-то эдакое. Поставить на него нормальное оборудование, и он будет просто великолепен. Забирайте за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_KX37|Нашёл удлинённую модель K37 после того, как кто-то её перегрузил. Неплохая зацепка, но я бы не сказал, что она пригодна для полётов. 200 тысяч за эту ​​штуку.

DIALOG_PIRATE_BUSINESS_SHIP_KR37|У нас тут где-то есть исследовательский K37. Немного мелковат на мой вкус, но обладает всеми достоинствами K37, за исключением размера. Оснащён клеткой Фарадея и всем прочим. Возьму всего 200 тысяч эа эту кроху.

DIALOG_PIRATE_BUSINESS_SHIP_KITSUNE|Один из демилитаризованных «Kitsune» пролетал в нашем районе, и у нас тут один завалялся. Не вижу особого смысла его использовать, так что могу предложить вам его. Отдаю за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_213|У меня тут есть старый «Cothon», но у этого припрятан туз в рукаве. Три двигателя вместо одного, мощный выхлоп, но у него убрана клетка Фарадея. Продаю за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_211|У нас тут есть Cothon как раз для колец. Его ковш больше стандартных моделей, правда немного смещён относительно центра. Повреждения есть, но он всё ещё на ходу. Отдам за 200 000 E$.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_BALD|Из всех возможных вариантов, нам достался Bald Eagle. Предыдущий владелец проиграл гонку Cothon'у и с позором бросил его. Всё ещё прекрасная работа, хоть с вмятинами, хоть без. 3 милиона, и птичка полетит в ваше гнездо.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_PELICAN|К нам в руки попал большой «Prospector». У него огромный отсек для корабля такоко размера, и, вероятно, именно из-за его массы у него изначально проблемы. Не могу сказать, пригоден ли он для полётов в таком состоянии. 250 тысяч за него, и надеюсь, вы его уберёте.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_VULTURE|У меня где-то здесь хранится гибридная сборка «Проспектор-К37». Приятно иметь корабль с таким оборудованием, но летать на нём не очень удобно. Мы хотим избавиться от него и передадим вам координаты за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_OCP|Кто-то из строителей «Obonto Seven» оставил один из своих кораблей незапертым во время инспекционного перерыва. Каким-то образом нам удалось его захватить, они ничего не заметили, пока не стало слишком поздно. Он слишком громоздкий на мой вкус, так что можете посмотреть за 750 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN|У нас есть заброшенный Titan со всем барохлом, грузовыми отсеками и всем прочим. Он огромный, но с повреждениями по ободу и в задней части. Можем уступить его вам за полтора миллиона.

DIALOG_PIRATE_BUSINESS_SHIP_TITAN_BB|У меня есть один из этих перелопаченых Titan'ов. Зверь-корабль с грузовым отсеком ещё большего зверя, хотя у него и нет некоторых отсеков. Мы просим за него полтора миллиона.

DIALOG_PIRATE_BUSINESS_SHIP_EIME|Нашёл брошенный EIME неподалёку отсюда. Удивительная находка, по крайней мере для нас, поскольку эти корабли показали себя невероятно крепкими, когда мы пытались вступить с ними в бой. Это почти металолом, но вы можете забрать его за 2 миллиона.

DIALOG_PIRATE_BUSINESS_SHIP_K37_I|У меня есть K37 в приличном состоянии, всё ещё с транспондерами. Небольшие дыры в реакторе и несколько пятен, но хороший механик справится. Могу продать его вам за 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_PROSPECTOR_I|У нас есть «Prospector» на продажу. Законно брошеный после небольшого инцендента во время добычи и очищенный на станции. Этот не для космоса. 200 тысяч.

DIALOG_PIRATE_BUSINESS_SHIP_COTHON_I|Мне достался ранний «Cothon», в довольно хорошем состоянии. Законный трофей, транспондер всё ещё включён, числится пропавшим без вести. Реактор всё ещё немного протекает. Продаётся за 200 тысяч.

